"name","geo_point_2d","ntl_mean","n_pixels","n_non_na_pixels","prop_non_na_pixels","date"
"Downtown","{ ""lon"": -123.11656700827415, ""lat"": 49.28074707013743 }",15.1010494232178,54,54,1,"2012-01"
"Hastings-Sunrise","{ ""lon"": -123.04026992328848, ""lat"": 49.277934052090188 }",3.42434740066528,71,53,0.746478873239437,"2012-01"
"Kerrisdale","{ ""lon"": -123.15957618168902, ""lat"": 49.223655484618817 }",2.19541883468628,65,65,1,"2012-01"
"Marpole","{ ""lon"": -123.1283816596551, ""lat"": 49.210207465671559 }",4.15595054626465,54,54,1,"2012-01"
"Oakridge","{ ""lon"": -123.12302460370566, ""lat"": 49.226403196402856 }",3.27740907669067,44,44,1,"2012-01"
"Riley Park","{ ""lon"": -123.10314680625231, ""lat"": 49.244766478648643 }",3.14020252227783,50,50,1,"2012-01"
"South Cambie","{ ""lon"": -123.12180091574463, ""lat"": 49.245556462368654 }",3.60069441795349,24,24,1,"2012-01"
"Shaughnessy","{ ""lon"": -123.13976016672807, ""lat"": 49.245680976154581 }",3.32116436958313,43,43,1,"2012-01"
"Victoria-Fraserview","{ ""lon"": -123.06413471832595, ""lat"": 49.220011940057667 }",2.90653920173645,48,48,1,"2012-01"
"Dunbar-Southlands","{ ""lon"": -123.18954680338996, ""lat"": 49.237961905344271 }",1.70455205440521,95,95,1,"2012-01"
"Fairview","{ ""lon"": -123.1310488653851, ""lat"": 49.264540486169757 }",7.83143377304077,42,42,1,"2012-01"
"Mount Pleasant","{ ""lon"": -123.09851312036905, ""lat"": 49.263065249728648 }",6.27360820770264,42,42,1,"2012-01"
"Renfrew-Collingwood","{ ""lon"": -123.040166464563, ""lat"": 49.247342733638504 }",3.38088297843933,69,45,0.652173913043478,"2012-01"
"West End","{ ""lon"": -123.13543765302629, ""lat"": 49.285011188472005 }",9.00773143768311,27,27,1,"2012-01"
"Arbutus Ridge","{ ""lon"": -123.16166923820482, ""lat"": 49.246804909827887 }",2.99438261985779,37,37,1,"2012-01"
"Grandview-Woodland","{ ""lon"": -123.06672822103268, ""lat"": 49.276439609304632 }",5.71273565292358,50,50,1,"2012-01"
"Kensington-Cedar Cottage","{ ""lon"": -123.07288459215947, ""lat"": 49.246686446286056 }",2.81032991409302,67,67,1,"2012-01"
"Killarney","{ ""lon"": -123.03764702895802, ""lat"": 49.217021670797429 }",2.13694906234741,61,42,0.688524590163934,"2012-01"
"Kitsilano","{ ""lon"": -123.16329474017252, ""lat"": 49.267539848486912 }",3.33422112464905,67,67,1,"2012-01"
"Strathcona","{ ""lon"": -123.08823528054062, ""lat"": 49.278219577647242 }",7.11974763870239,42,42,1,"2012-01"
"Sunset","{ ""lon"": -123.09203800098149, ""lat"": 49.218756150539072 }",3.8829619884491,61,61,1,"2012-01"
"West Point Grey","{ ""lon"": -123.20346748255886, ""lat"": 49.268401210185914 }",1.8341429233551,54,54,1,"2012-01"
"Downtown","{ ""lon"": -123.11656700827415, ""lat"": 49.28074707013743 }",13.5605564117432,54,54,1,"2012-02"
"Hastings-Sunrise","{ ""lon"": -123.04026992328848, ""lat"": 49.277934052090188 }",4.3231143951416,71,69,0.971830985915493,"2012-02"
"Kerrisdale","{ ""lon"": -123.15957618168902, ""lat"": 49.223655484618817 }",2.04956197738647,65,65,1,"2012-02"
"Marpole","{ ""lon"": -123.1283816596551, ""lat"": 49.210207465671559 }",4.29941320419312,54,54,1,"2012-02"
"Oakridge","{ ""lon"": -123.12302460370566, ""lat"": 49.226403196402856 }",3.96828889846802,44,44,1,"2012-02"
"Riley Park","{ ""lon"": -123.10314680625231, ""lat"": 49.244766478648643 }",3.79504799842834,50,50,1,"2012-02"
"South Cambie","{ ""lon"": -123.12180091574463, ""lat"": 49.245556462368654 }",4.98421812057495,24,24,1,"2012-02"
"Shaughnessy","{ ""lon"": -123.13976016672807, ""lat"": 49.245680976154581 }",3.89806318283081,43,43,1,"2012-02"
"Victoria-Fraserview","{ ""lon"": -123.06413471832595, ""lat"": 49.220011940057667 }",3.45021843910217,48,48,1,"2012-02"
"Dunbar-Southlands","{ ""lon"": -123.18954680338996, ""lat"": 49.237961905344271 }",1.80884230136871,95,95,1,"2012-02"
